     %autotime   bustime   dtime         auto   
     52.9        4.4      -48.5          0  
      4.1       28.5       24.4          0  
      4.1       86.9       82.8          1  
     56.2       31.6      -24.6          0  
     51.8       20.2      -31.6          0  
       .2       91.2         91          1  
     27.6       79.7       52.1          1  
     89.9        2.2      -87.7          0  
     41.5       24.5        -17          0  
       95       43.5      -51.5          0  
     99.1        8.4      -90.7          0  
     18.5         84       65.5          1  
       82         38        -44          1  
      8.6        1.6         -7          0  
     22.5       74.1       51.6          1  
     51.4       83.8       32.4          1  
       81       19.2      -61.8          0  
       51         85         34          1  
     62.2       90.1       27.9          1  
     95.1       22.2      -72.9          0  
     41.6       91.5       49.9          1  
